GO:0000001	mitochondrion inheritance	线粒体遗传
GO:0007502	digestive tract mesoderm development	消化道中胚层发育
GO:0007503	fat body development	脂肪体发育
GO:0007504	larval fat body development	幼虫脂肪体发育
GO:0007505	adult fat body development	成体脂肪体发育
GO:0007506	gonadal mesoderm development	性腺中胚层发育
GO:0007507	heart development	心脏发育
GO:0007508	larval heart development	幼虫心脏发育
GO:0007509	mesoderm migration involved in gastrulation	参与原肠胚形成的中胚层迁移
GO:0007510	cardioblast cell fate determination	成心肌细胞命运决定
GO:0007512	adult heart development	成体心脏发育
GO:0007516	hemocyte development	血细胞发育
GO:0007517	muscle organ development	肌肉器官发育
GO:0007518	myoblast fate determination	成肌细胞命运决定
GO:0007519	skeletal muscle tissue development	骨骼肌组织发育
GO:0007520	myoblast fusion	成肌细胞融合
GO:0007521	muscle cell fate determination	肌肉细胞命运决定
GO:0007522	visceral muscle development	内脏肌发育
GO:0007523	larval visceral muscle development	幼虫内脏肌发育
GO:0007524	adult visceral muscle development	成体内脏肌发育
GO:0007525	somatic muscle development	体壁肌发育
GO:0007526	larval somatic muscle development	幼虫体壁肌发育
GO:0007527	adult somatic muscle development	成体体壁肌发育
GO:0007528	neuromuscular junction development	神经肌肉接头发育
GO:0007529	establishment of synaptic specificity at neuromuscular junction	神经肌肉接头处突触特异性的建立
GO:0007530	sex determination	性别决定
GO:0007531	mating type determination	交配型决定
GO:0007532	regulation of mating-type specific transcription, DNA-templated	交配型特异性转录的调控、以DNA为模板
GO:0007533	mating type switching	交配型转换
GO:0007534	gene conversion at mating-type locus	交配型位点的基因转换
GO:0007535	donor selection	供体选择
GO:0007536	activation of recombination (HML)	重组激活（HML）
GO:0007537	inactivation of recombination (HML)	重组失活（HML）
GO:0007538	primary sex determination	初级性别决定
GO:0007539	primary sex determination, soma	初级性别决定、体细胞
GO:0007540	sex determination, establishment of X:A ratio	性别决定、X:A比值的建立
GO:0007541	sex determination, primary response to X:A ratio	性别决定、对X:A比值的初级响应
GO:0007542	primary sex determination, germ-line	初级性别决定、生殖系
GO:0007543	sex determination, somatic-gonadal interaction	性别决定、体细胞-性腺相互作用
GO:0007548	sex differentiation	性别分化
GO:0007549	sex-chromosome dosage compensation	性染色体剂量补偿
GO:0007552	metamorphosis	变态发育
GO:0007553	regulation of ecdysteroid metabolic process	蜕皮类固醇代谢过程的调控
GO:0007554	regulation of ecdysteroid biosynthetic process	蜕皮类固醇生物合成过程的调控
GO:0007555	regulation of ecdysteroid secretion	蜕皮类固醇分泌的调控
GO:0007557	regulation of juvenile hormone biosynthetic process	保幼激素生物合成过程的调控
GO:0007558	regulation of juvenile hormone secretion	保幼激素分泌的调控
GO:0007560	imaginal disc morphogenesis	成虫盘形态发生
GO:0007561	imaginal disc eversion	成虫盘外翻
GO:0007562	eclosion	羽化
GO:0007563	regulation of eclosion	羽化的调控
GO:0007564	regulation of chitin-based cuticle tanning	基于几丁质的角质层鞣化的调控
GO:0007565	female pregnancy	雌性妊娠
GO:0007566	embryo implantation	胚胎着床
GO:0007567	parturition	分娩
GO:0007584	response to nutrient	对营养物质的响应
GO:0007585	respiratory gaseous exchange by respiratory system	呼吸系统进行的呼吸气体交换
GO:0007586	digestion	消化
GO:0007588	excretion	排泄
GO:0007589	body fluid secretion	体液分泌
GO:0007591	molting cycle, chitin-based cuticle	蜕皮周期、基于几丁质的角质层
GO:0007593	chitin-based cuticle sclerotization	基于几丁质的角质层硬化
GO:0007594	puparial adhesion	围蛹黏着
GO:0007595	lactation	泌乳
GO:0007596	blood coagulation	血液凝固
GO:0007597	blood coagulation, intrinsic pathway	血液凝固、内源性途径
GO:0007598	blood coagulation, extrinsic pathway	血液凝固、外源性途径
GO:0007599	hemostasis	止血
GO:0007600	sensory perception	感知觉
GO:0007601	visual perception	视觉感知
GO:0007602	phototransduction	光转导
GO:0007603	phototransduction, visible light	光转导、可见光
GO:0007604	phototransduction, UV	光转导、紫外线
GO:0007605	sensory perception of sound	听觉感知
GO:0007606	sensory perception of chemical stimulus	对化学刺激的感知
GO:0007608	sensory perception of smell	嗅觉感知
GO:0007610	behavior	行为
GO:0007611	learning or memory	学习或记忆
GO:0007612	learning	学习
GO:0007613	memory	记忆
GO:0007614	short-term memory	短期记忆
GO:0007615	anesthesia-resistant memory	麻醉抗性记忆
GO:0007616	long-term memory	长期记忆
GO:0007617	mating behavior	交配行为
GO:0007618	mating	交配
GO:0007619	courtship behavior	求偶行为
GO:0007620	copulation	交媾
GO:0007621	negative regulation of female receptivity	雌性接受性的负调控
GO:0007622	rhythmic behavior	节律行为
GO:0007623	circadian rhythm	昼夜节律
GO:0007624	ultradian rhythm	超日节律
GO:0007625	grooming behavior	梳理行为
GO:0007626	locomotory behavior	运动行为
GO:0007628	adult walking behavior	成体行走行为
GO:0007629	flight behavior	飞行行为
GO:0007630	jump response	跳跃响应
GO:0007631	feeding behavior	摄食行为
GO:0007632	visual behavior	视觉行为
GO:0007633	pattern orientation	图案定向
GO:0007634	optokinetic behavior	视动行为
GO:0007635	chemosensory behavior	化学感应行为
GO:0007636	chemosensory jump behavior	化学感应跳跃行为
GO:0007637	proboscis extension reflex	喙伸展反射
GO:0007638	mechanosensory behavior	机械感应行为
GO:0007639	homeostasis of number of meristem cells	分生组织细胞数量的稳态
GO:0008009	chemokine activity	趋化因子活性
GO:0008010	structural constituent of chitin-based larval cuticle	基于几丁质的幼虫角质层的结构组分
GO:0008011	structural constituent of pupal chitin-based cuticle	基于几丁质的蛹角质层的结构组分
GO:0008012	structural constituent of adult chitin-based cuticle	基于几丁质的成体角质层的结构组分
GO:0008013	beta-catenin binding	β-连环蛋白结合
GO:0008015	blood circulation	血液循环
GO:0008016	regulation of heart contraction	心脏收缩的调控
GO:0008017	microtubule binding	微管结合
GO:0008020	G protein-coupled photoreceptor activity	G蛋白偶联的光受体活性
GO:0008021	synaptic vesicle	突触囊泡
GO:0008023	transcription elongation factor complex	转录延伸因子复合物
GO:0008024	cyclin/CDK positive transcription elongation factor complex	周期蛋白/CDK正转录延伸因子复合物
GO:0008028	monocarboxylic acid transmembrane transporter activity	单羧酸跨膜转运蛋白活性
GO:0008029	pentraxin receptor activity	正五聚蛋白受体活性
GO:0008030	neuronal pentraxin receptor activity	神经元正五聚蛋白受体活性
GO:0008031	eclosion hormone activity	羽化激素活性
GO:0008033	tRNA processing	tRNA加工
GO:0008035	high-density lipoprotein particle binding	高密度脂蛋白颗粒结合
GO:0008036	diuretic hormone receptor activity	利尿激素受体活性
GO:0008037	cell recognition	细胞识别
GO:0008038	neuron recognition	神经元识别
GO:0008039	synaptic target recognition	突触靶标识别
GO:0008045	motor neuron axon guidance	运动神经元轴突引导
GO:0008046	axon guidance receptor activity	轴突引导受体活性
GO:0008047	enzyme activator activity	酶激活剂活性
GO:0008048	calcium sensitive guanylate cyclase activator activity	钙敏感鸟苷酸环化酶激活剂活性
GO:0008049	male courtship behavior	雄性求偶行为
GO:0008050	female courtship behavior	雌性求偶行为
GO:0008052	sensory organ boundary specification	感觉器官边界特化
GO:0008053	mitochondrial fusion	线粒体融合
GO:0008055	ocellus pigment biosynthetic process	单眼色素生物合成过程
GO:0008056	ocellus development	单眼发育
GO:0008057	eye pigment granule organization	眼色素颗粒组织
GO:0008058	ocellus pigment granule organization	单眼色素颗粒组织
GO:0008061	chitin binding	几丁质结合
GO:0008062	eclosion rhythm	羽化节律
GO:0008063	Toll signaling pathway	Toll信号传导通路
GO:0008064	regulation of actin polymerization or depolymerization	肌动蛋白聚合或解聚的调控
GO:0008065	establishment of blood-nerve barrier	血-神经屏障的建立
GO:0008066	glutamate receptor activity	谷氨酸受体活性
GO:0008068	extracellularly glutamate-gated chloride channel activity	细胞外谷氨酸门控氯通道活性
GO:0008069	dorsal/ventral axis specification, ovarian follicular epithelium	背腹轴特化、卵巢滤泡上皮
GO:0008070	maternal determination of dorsal/ventral axis, ovarian follicular epithelium, germ-line encoded	背腹轴的母源决定、卵巢滤泡上皮、生殖系编码
GO:0008071	maternal determination of dorsal/ventral axis, ovarian follicular epithelium, soma encoded	背腹轴的母源决定、卵巢滤泡上皮、体细胞编码
GO:0008073	ornithine decarboxylase inhibitor activity	鸟氨酸脱羧酶抑制剂活性
GO:0008074	guanylate cyclase complex, soluble	可溶性鸟苷酸环化酶复合物
GO:0008076	voltage-gated potassium channel complex	电压门控钾通道复合物
GO:0008078	mesodermal cell migration	中胚层细胞迁移
GO:0008079	translation termination factor activity	翻译终止因子活性
GO:0008080	N-acetyltransferase activity	N-乙酰转移酶活性
GO:0008081	phosphoric diester hydrolase activity	磷酸二酯水解酶活性
GO:0008083	growth factor activity	生长因子活性
GO:0008084	imaginal disc growth factor receptor binding	成虫盘生长因子受体结合
GO:0008086	light-activated voltage-gated calcium channel activity	光激活的电压门控钙通道活性
GO:0008087	light-activated voltage-gated calcium channel complex	光激活的电压门控钙通道复合物
GO:0008088	axo-dendritic transport	轴突-树突转运
GO:0008089	anterograde axonal transport	顺向轴突转运
GO:0008090	retrograde axonal transport	逆向轴突转运
GO:0008091	spectrin	血影蛋白
GO:0008092	cytoskeletal protein binding	细胞骨架蛋白结合
GO:0008093	cytoskeletal adaptor activity	细胞骨架衔接蛋白活性
GO:0008094	ATP-dependent activity, acting on DNA	依赖ATP的活性、作用于DNA
GO:0008096	juvenile hormone epoxide hydrolase activity	保幼激素环氧化物水解酶活性
GO:0008097	5S rRNA binding	5S rRNA结合
GO:0008098	5S rRNA primary transcript binding	5S rRNA初级转录本结合
GO:0008103	oocyte microtubule cytoskeleton polarization	卵母细胞微管细胞骨架极化
GO:0008104	intracellular protein localization	细胞内蛋白质定位
GO:0008106	alcohol dehydrogenase (NADP+) activity	乙醇脱氢酶（NADP+）活性
GO:0008107	galactoside 2-alpha-L-fucosyltransferase activity	半乳糖苷2-α-L-岩藻糖基转移酶活性
GO:0008108	UDP-glucose:hexose-1-phosphate uridylyltransferase activity	UDP葡萄糖:己糖-1-磷酸尿苷酰转移酶活性
GO:0008109	N-acetyllactosaminide beta-1,6-N-acetylglucosaminyltransferase activity	N-乙酰乳糖胺β-1,6-N-乙酰葡糖胺基转移酶活性
GO:0008110	L-histidine:2-oxoglutarate transaminase activity	L-组氨酸:2-酮戊二酸氨基转移酶活性
GO:0008111	alpha-methylacyl-CoA racemase activity	α-甲基酰基CoA消旋酶活性
GO:0008112	nicotinamide N-methyltransferase activity	烟酰胺N-甲基转移酶活性
GO:0008113	peptide-methionine (S)-S-oxide reductase activity	肽-甲硫氨酸(S)-S-氧化物还原酶活性
GO:0008114	phosphogluconate 2-dehydrogenase activity	磷酸葡糖酸2-脱氢酶活性
GO:0008115	sarcosine oxidase activity	肌氨酸氧化酶活性
GO:0008116	prostaglandin-I synthase activity	前列腺素-I合酶活性
GO:0008117	sphinganine-1-phosphate aldolase activity	二氢鞘氨醇-1-磷酸醛缩酶活性
GO:0008118	N-acetyllactosaminide alpha-2,3-sialyltransferase activity	N-乙酰乳糖胺α-2,3-唾液酸转移酶活性
GO:0008119	thiopurine S-methyltransferase activity	硫嘌呤S-甲基转移酶活性
GO:0008120	ceramide glucosyltransferase activity	神经酰胺葡糖基转移酶活性
GO:0008121	quinol-cytochrome-c reductase activity	醌醇-细胞色素c还原酶活性
GO:0008123	cholesterol 7-alpha-monooxygenase activity	胆固醇7-α-单加氧酶活性
GO:0008124	4-alpha-hydroxytetrahydrobiopterin dehydratase activity	4-α-羟基四氢生物蝶呤脱水酶活性
GO:0008126	acetylesterase activity	乙酰酯酶活性
GO:0008127	quercetin 2,3-dioxygenase activity	槲皮素2,3-加双氧酶活性
GO:0008131	primary methylamine oxidase activity	伯甲胺氧化酶活性
GO:0008134	transcription factor binding	转录因子结合
GO:0008135	translation factor activity, RNA binding	翻译因子活性、RNA结合
GO:0008137	NADH dehydrogenase (ubiquinone) activity	NADH脱氢酶（泛醌）活性
